电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
面具背后,116000,16,504,22,143,剧情悬疑,暂无评分,评分人数不足,已完结, 全35集,0,0,简介：1936年上海，从小被人收养的徐继发是一名警探，并受命调查一桩坠楼案，在他追查遭到陷害面临绝境之时，竟遇到了失散多年的亲母和胞弟，了解到自己的身世牵扯着15年前的黄金劫案，元凶与坠楼案的真凶竟是同一伙人，胞弟林奕晨竟也被他们误认作徐继发杀害。为了破案复仇，徐继发伪装成弟弟的身份继续追查真相.历尽艰辛，徐继发终于将罪犯全部绳之于法。在追查真相的过程中徐继发目睹了国民政府的腐朽和黑暗，同时让他感到发生在自己身上的悲剧是因为整个社会的腐败，他开始接触到新的思潮，从只注重个人恩怨发展到关心民族前程，抗日战争爆发后，...,,,,,
失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,54087000,329000,1793000,119000,547000,小说改战斗魔法,4.8,23569,已完结, 全12话,40,7672,简介：被誉为世界最强魔法师的「贤者」盖亚斯，感受到自己与生俱来的纹章的性能已经到达了极限。他为了变更纹章而采取的方法，则是通过转生来获得新的躯体！他转生到了遥远的未来世界，得到了渴求已久的「最适合魔法战斗的纹章」，以及马蒂亚斯这个名字。然而在这个时代，这个纹章却不知为何被称为「失格纹」……！时过境迁，当今世界魔法衰退，充斥着低水准的魔法理论。兼具魔法战斗最强的「失格纹」与贤者智慧的少年马蒂亚斯，将不断打破这个世界的常识！,,,,,
密查,241000,776,1300,106,577,剧情悬疑历史,暂无评分,评分人数不足,已完结, 全39集,0,3,简介：一九三八年，在抗日战争、国共合作背景下，蒋介石听信谗言授命西安特务组织，密裁第十八集团军高级参议、中共党员宣侠父，此举引发中共强烈抗议。迫于舆论压力，国民党被迫在西安成立破反专署，调查宣侠父失踪案。中共地下党员、原中统特工武仲明，成为国共双方共同认可的破反专员。武仲明领衔的破反专署，集结了西安军、警、特和八路军西安办事处各路人马,敌中有我，我中有敌，错综复杂，调查之旅甫一启程即步步陷阱、危机四伏！武仲明彻查宣侠父案两个月间，不仅是刀锋上的对决，也是人性的较量。在地下党组织引领下，正义同道前仆后继追寻下...,,,,
天才王子的赤字国家振兴术,65563000,428000,2420000,397000,1149000,小说改架空奇幻,9.5,33510,已完结, 全12话,89,9792,简介：暴露在霸权国家威胁下的小国：纳特拉王国年纪轻轻就背负国家重担的王子维恩在辅佐官妮妮姆的支持下，发挥自身的天赋，开始施展精明的手段。可是，这个国家……已经彻底没救了！想要革新内政却没钱。想要向外夺取却没有军力。靠谱的优秀人才全都流失到了国外。真想赶紧把国家卖了跑路啊。维恩的心愿是卖掉国家，尽早退隐，过上悠闲自在的生活。若是能讨好大国，应该就能把国家卖出去。然而外交与军事却向出乎意料的方向发展……依靠智慧与临机应变影响世界天才王子运营弱小国家，就此开幕！,,,,,
静静的叶尔羌河,9351,10,107,3,78,,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：火红年代，难忘激情燃烧的岁月，可歌可泣，燃点刻骨铭心的爱情。向新疆生产建设兵团的前辈们致敬。一九四九年底，解放新疆的中国人民解放军某师，星夜兼程进军新疆阿克苏地区。三天后，上级命令该师五团火速进驻叶尔羌河地区，平息那里可能出现的国民党起义部队和少数反动伯克密谋叛乱……本剧正是以张怀德一家人及其他的战友们，以新疆生产建设兵团的发展为核心，展示出一代人同一代人，一个民族同另一个民族的感情故事，谱写出一曲可歌可泣的军垦创业史诗，由此引发出一种思考……人应该如何面对困难，面对死亡，面 对名利，幸福……如何追求人生。,,,,,
运动肥侠,8291,7,102,--,24,剧情,暂无评分,评分人数不足,已完结, 全30集,0,1,简介：《运动肥侠》是一部由国家体育总局和北京大学共同立项，北京奥运会专家委员会主任纪宁担任总制片人总导演、北京大学中国体育产业研究中心研究员骆维维担任制片人、香港知名导演胡储玺执导的奥运青春励志轻喜剧。这部电视剧以“宋辽体育会盟”和“狸猫换太子”为传奇背景，讲述了宋代一群年轻人通过自身努力和公平竞技，从小人物成为大英雄的故事。该剧于2011年10月18日在浙江横店开机。,,,,,
老师错了,52000,9,404,6,135,剧情,暂无评分,评分人数不足,已完结, 全26集,0,1,简介：林海原在北京某大学任教，与妻子潘洁(王馥荔饰)育有一对双胞胎-双双、对对姊妹(张庭一人饰两角)。文革期间，林海接到在香港经商的伯父急电：要他带着妻小到香港避难。不巧岳母身体微恙，夫妻俩商量由林海先带双双走，等母亲病愈，潘洁随后就到。未料，局势巨变，夫、妻、姐、妹竟因此两地相隔二十几年未再见面。伯父的生意渐渐由香港转到台湾，林海也带着双双飞到高雄定居。从此，一家人只得台湾、大陆两岸隔海遥望，期待再相聚。后来林海与他的秘书李美贤(白冰冰饰)再婚，而潘洁三十年来含辛茹苦，养育对对直到大学毕业，终未改嫁，这也是夫妻...,,,,,
闺蜜决,26000,5,149,7,202,剧情,暂无评分,评分人数不足,已完结, 全28集,0,1,简介：内容提要：服装设计专业应届毕业生连依兰为了实现做一名优秀服装设计师的理想，离开大城市，到了富裕农村的村办旗袍企业工作。连依兰在桃源制衣带头人杨改玲的高压训练下，逐渐成长起来，参与了和另一家村办旗袍企业凹凸制衣的多次竞争。凹凸制衣首席设计师陈嫱媛是连依兰的大学同学，两人同时喜欢上了杨改玲之子唐丹枫，连依兰的勤奋上进逐渐吸引了同样努力进取的唐丹枫。在经历了一系列竞争后，桃源制衣和凹凸制衣冰释前嫌，联合起来迈上了更大的发展平台。经历了风风雨雨之后，连依兰由一个懵懂的大学毕业生终于成长为桃源制衣的首席服装设...,,,,,
像兄妹一样手拉手,12000,24,152,13,539,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：70年代初，家庭出身不好的北京青年刘放投奔黑龙江兵团的好友雷晓曼。雷通过好友、宣传股干事贾正军帮忙将刘放留在兵团，成为一名临时工。贾暗恋雷晓曼，当他发现雷心里爱的是刘放时，心生妒忌。雷晓曼的好友崔莉莉，暗恋上刘放，痴情地守候着刘放。然而，刘放为了雷晓曼的前途，远离了雷晓曼，终于使雷投入到贾正军的怀抱。崔莉莉公开表达了对刘放的爱恋，遭到刘放拒绝。刘放做梦都想成为一名兵团战士，在建设兵团撤销之前，最终如愿。虽然只当了一天兵团战士，他却心满意足，跟崔莉莉结为人生伴侣。,,,,,
男人不坏,44000,969,400,90,336,都市剧情,暂无评分,评分人数不足,已完结, 全24集,0,4,简介：保险公司业务员边红旗巧遇离散十四年的女儿，迎来的除了重聚的喜悦，还有更多的麻烦。一直以来，边红旗心里暗恋着史冬梅，虽然两个人一见面就吵个不停，其实是边红旗觉得自己高攀不上，于是把她介绍给了自己的同学、从海外留学回国的大夫吕少雄。没想老同学吕少雄与她一见钟情，边红旗无奈成为月老，眼看着两人感情发展迅速，到了谈婚论嫁的地步，边红旗的心里很不是滋味。同时，在一个公司工作的许文英大胆热情地追求着边红旗，让边红旗不知所措。在各自的故事中，爱情、亲情、友情相互碰撞，相互理解。,,,,,
未来有你·初音未来2021演唱会,1441000,15000,425000,30000,68000,演唱会音乐,9.9,1606,已完结，共1集,2,408,简介：“未来有你?MIKU WITH YOU”是诞生于中国的演唱会企划。“未来”有你，意指初音未来的未来有你相伴；未来有“你”，意指你的未来有初音未来相伴。2017年起步的本企划，今年迎来了第五年。 前四年的演唱会主题分别为“热情”、“星际旅行”、“舞动的精灵”、“欢乐假日”，今年的主题是——“未来花道”！“花道”代表着大家和MIKU共同迈向的美好未来，也希望今后MIKU的灿烂花路上同样有你！,,,,,,
大时代风云录,21000,1,113,6,24,,暂无评分,评分人数不足,已完结, 全39集,0,1,简介：1988年，正值改革开放的大时代，张尚儒在台湾的工厂面临人事成本问题难以继续经营，经评估决定带弟弟张弘圣前往中国大陆追求中国梦。张尚儒在大学时期有个铁哥们赵长城，两人因同时爱上刘千荭，兄弟间的感情从此生变。经多年磨练，赵长城在优式集团担任总经理，前往广东设厂后，遂运用自己的资源抢走张尚儒的客户，让张尚儒兄弟两的事业风云变色，面临经营危机。张尚儒在最沮丧的时候，身为儒学大师的村书记张念文，传授张尚儒许多儒家思想，让张尚儒在面临产业危机及赵长城的打压时，均能调整心态产生正能量，度过对手打压、经济危机难关，并...,,,,,
冲出虚拟世界,20000,297,312,36,176,剧情,暂无评分,评分人数不足,已完结, 全32集,0,1,简介：该剧讲述了岳凌云，西门迪等四个现代青年在网络游戏的虚拟世界中，与韩博士为首的邪恶势力斗智斗勇，重返现实世界的故事。,,,,,
又见白娘子,356000,3305,4058,95,1382,古装,暂无评分,评分人数不足,已完结, 全35集,0,7,简介：远古时代，天地本无界，万物为求永生之道，皆因善恶动心起念，道不同不相为谋，渐形成了仙道与魔道两大势力，自此光明与黑暗对立。仙道为维护天地纪律、匡扶浩然正气，避免受到魔道破坏仙境，派出五大神兽，青龙、白虎、朱雀、玄武、麒麟五大尊者将具有魔道心性的生灵全部驱离仙境。不甘心被驱逐的妖兽，推派黑龙王为首，带领魔界邪灵妖兽们迎战反抗，撞毁四大天柱，引洪水泛滥，从此天地分界，烈火延烧七天七夜、生灵涂炭、哀鸿遍野。仙界将炼石补天的五色晶石打造成五大神器，朱霞镜、白灵珠、青云剑、金电钵、黑雷杖分别交由五大神兽前去平...,,,,,
公主连结 与你重逢 第二季,31502000,227000,3539000,224000,624000,游戏改搞笑冒险萌系,5.9,26170,已完结, 全12话,317,9371,简介：阿斯特莱亚大陆，是一片有着微风吹拂的美丽大地。而在这大地的角落里，一个失去了记忆的少年佑树醒了过来。和他同行的，有着负责照顾他的小个子向导，可可萝。还有一位总是肚子饿得咕咕叫的美少女剑士，佩可莉姆。以及稍微有些傲气的猫耳魔法少女，凯露。在命运的指引下，他们建起了名为“美食殿堂”的公会。现在，佑树和他们的冒险即将展开——,,,,,
自称贤者弟子的贤者,33158000,164000,1195000,86000,420000,小说改奇幻冒险,6,9293,已完结, 全12话,33,2980,简介：拓展出无限可能性的虚拟现实大型多人在线角色扮演游戏《方舟地球网络版》。玩家建立的国度阿尔凯特王国拥有九位贤者，其中有一位威风凛凛的老年召唤术士名叫邓不利夫，是游戏玩家之一。某一天，他感受到世界发生了异常的变化。不仅产生了游戏中本没有的味觉和嗅觉，更是无法退出游戏。甚至在非玩家角色身上发现了酷似人类的反应。这证明了游戏已经成为了不折不扣的现实。而且这个世界已经走过了足足30年。更不可思议的是，邓不利夫因为种种原因身体变成了幼小而美丽的少女！为了解开面目全非的世界之谜，邓不利夫自称为贤者的弟子米菈踏上了旅...,,,,,
擅长捉弄的高木同学 第三季,55986000,699000,3561000,1577000,1684000,漫画改校园恋爱,9.9,71612,已完结, 全12话,202,24709,简介：“捉弄”缩短了二人的距离，2022年想要守候的初恋就在这里。在一所初中里，有一个叫做西片的男生，他时不时就会遭到同桌女生高木的捉弄。西片每次思考对策，想要捉弄回高木，都会被高木看透。于是西片每天都绞尽脑汁，想要扳回一城…然而随着时间变化的不止是季节，还有西片的心境？看似占据优势的高木似乎也发生了让她动摇的事情？是看对方喜欢自己，还是将喜欢展现给对方看——让人止不住微笑和心动的“捉弄战争”，终于要进入最终回合！？,,,,,
