电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
Tertium quid,622,--,20,--,4,短片,暂无评分,评分人数不足,19,0,0,简介：该短片构建了一个完全理性社会，表现社会集体意识对于个体人的改变，人逐渐失去自我，使我变成了你，你变成了我，我和你又变成了他，最后变成了Tertium quid，翻译成中文便是“他”少了一撇。,
泉客行舟,639,--,15,6,9,短片,暂无评分,评分人数不足,20,0,0,简介：河边流传着泉客（美人鱼）的传说，女主人公回乡祭祖探寻外婆的死因，意外发现自己和这片血脉相连的水域产生了奇妙的相连。,
再见，棒棒,8027,3,103,30,75,短片,暂无评分,评分人数不足,11,0,1,简介：重庆铜元局聚集了一个棒棒军群体，以其中资历最深的棒棒军——周安华为主要人物，拍摄了周安华以及其他铜元局棒棒军这一群体在快速发展的社会中艰难生存的工作生活情况。,
黄土,1643,4,46,18,21,短片,暂无评分,评分人数不足,28,0,0,简介：在陕北的黄土高原上，有一位叫黄宏伟的留守老人孤零零的住在窑洞里，这天老人腌了一缸白菜，原来是他的儿女快要从城里回来了，而腌白菜也是女儿最爱吃的食物。结果女儿还没回来，却先碰上了一对收窑洞的人……,
将军,60000,90,437,41,501,短片,暂无评分,评分人数不足,12,1,7,简介：讲述象棋之间的战斗,
村落,607,--,23,--,2,短片,暂无评分,评分人数不足,35,0,0,简介：拥有几千年历史的一个村庄，从宋朝就存在的一个村落西亭村，2020年12月1号开始拆迁，一个村子的落幕总是非常的悲凉。在住了一辈子的房子倒下之际，到底有哪些美好的事情会被封存，又有多少老人的记忆从此消失,
红娘,1404000,567,18000,4014,14000,短片,9.4,348,6,0,91,简介：红娘故事现代改编，一些青春回忆,
纳西吾木,749,1,35,12,12,短片,暂无评分,评分人数不足,25,0,0,简介：影片以云南省纳西族吾木村东巴和继先找种子和纳西族吾木村村长和吉胜修路的事件为线索，讲述了纳西族一面传承保护民族传统，一面开拓进取积极融入现代社会的民族状态。,
等风来,8343,1,125,29,109,短片,暂无评分,评分人数不足,40,0,0,简介：一个冷门的专业，两个为了考上大学而选择艺考的男孩，他们是否真的适合艺考?考本科对他们来说是否一定是人生的唯一出路？而在整个“艺考产业链”的大环境里，这些艺考生是否又充当的是被资本玩弄的角色？,
梦飞天,822,1,33,4,14,短片,暂无评分,评分人数不足,3,0,0,简介：一名宇航员女孩在登上火箭时做了一个梦，梦见儿时的她在莫高窟与一名壁画中的飞天相遇，她不停地追逐着飞天的背影却什么都触碰不到，醒来后她发现随着火箭升空，梦中的飞天随着她一起奔向太空。,
三五成群,1019,--,28,3,7,短片,暂无评分,评分人数不足,39,0,0,简介：西北乡村小学五年级学生王浩的母亲出去打工后不回来了，小王浩对母亲的认识也发生了巨大的转变。本片记录了王浩敏感的心事愁绪，刻画了乡村留守儿童的教育状况和家庭环境。,
未来算法,3411,1,46,2,13,短片,暂无评分,评分人数不足,17,0,0,简介：人工智能公司的老板制造出来一个名为小天的人工智能，它可以收集大数据预测未来的走向，后来老板不理智的行为使得小天判断其不在适合带领公司发展，于是利用自身的能力完成主仆角色的替换。,
约会,2033,--,35,--,11,,暂无评分,评分人数不足,3,0,0,简介：物以类聚，日常物品偶然谋面，各自却心怀鬼胎，双方争锋相对，纠缠不清。然而不过一场游戏一场局。,
阿图快跑,908,--,18,4,10,短片,暂无评分,评分人数不足,26,0,0,简介：微电影《阿图快跑》是一部民族题材的作品，讲述了一个拉祜族少年保护他的狗的故事。,
陈述,650,--,24,1,5,短片,暂无评分,评分人数不足,9,0,0,简介：描述远离城市喧嚣田野乡间仍然存在种种不常被人知晓的地方封建文化，习俗，用伪记录半纪实的方式表现出来，展示出与众不同的风土人情，地域特色，也通过影像变相的保存下这些罕为人知的文化习俗。,
暮死朝生,469,1,19,--,2,短片,暂无评分,评分人数不足,5,0,0,简介：视频里面讲述了一个 病毒从出生到生长分裂蔓延的过程、通过二维和三维的切换、较为可爱的画面带来反差给观众。,
缝年,6455,2,30,2,9,短片,暂无评分,评分人数不足,19,0,1,简介：讲述了一位普通手工劳动者在后疫情时代中的2022年春节前的工作状况。,
火钳烫发,812,1,29,6,10,短片,暂无评分,评分人数不足,9,0,0,简介：将快消逝的火钳烫发手艺带到当今人们的面前来，具体了解传统工序，让更多人关注到这个店，老人经历过的一些故事有时代的价值，与老人交流的过程中，能了解很多故事，探寻历史的痕迹。,
第七界,9535,12,377,12,90,短片,暂无评分,评分人数不足,7,0,0,简介：我们在影片中以木马病毒作为主要元素，通过梦境中的“侦查”展开剧情发展。观众代入到侦查者的身份，他们并不仅观赏还会代入到里面，对梦境中产生未知感受。同时也在渴望找到困惑自己这个矛盾体的答案。,
夜已晚,1849,2,27,8,17,短片,暂无评分,评分人数不足,10,0,0,简介：吉庆街是武汉非常著名的夜市街，这里曾经诞生过属于吉庆街的“四大天王”，还有许多年纪相仿无名的艺人们，他们用近乎半生的时间在吉庆街的餐桌前，与数不尽的观众见面，形成了与众不同的夜市餐饮文化。,
错枪,8156,4,38,2,7,短片,暂无评分,评分人数不足,12,0,0,简介：黄警官是泰国唐人街的片警，唯一的任务是抓住那些贴小广告的人。在一次对贴小广告“罪犯”的追捕中，他意外破获了一起家暴和蓄意谋杀案，正当他以为自己即将成为一名真正的好警察的时候，却面临了前所未有的抉择。,
山水间,318000,418,1391,364,731,短片,暂无评分,评分人数不足,24,0,17,简介：从平遥向南约三十里，有着一座宁静寂寥的小村庄——梁家庄。村里的常驻人口如今只剩下了几户，其中就有怀念故乡，进城又复返的王应富、毛桂英夫妇，城市化的脚步并未改变他们淳朴的生活方式与态度。,
喜,69000,158,442,28,841,短片,暂无评分,评分人数不足,2,0,48,简介：喜，便是喜悦，各种各样的喜悦。有开心之喜，有感动之喜，有兴奋之喜，有善良之喜，有期盼之喜，更有收获之喜......,
如斯,459,--,24,2,4,短片,暂无评分,评分人数不足,14,0,0,简介：本片由真实故事改编，讲述一位患有“情感缺失症”（是临床上一种以“情绪感受浅薄、缺乏同理心”等为特征，所感受道德情绪微乎其微的人格障碍）的少年张城山在自己生父的葬礼上获得自我救赎的故事。,
完美小孩,762,--,23,--,9,短片,暂无评分,评分人数不足,33,0,0,简介：故事发生在一个平行世界里，这个世界将人分为A/B两等级，生活资源因等级而定，为了追求更高等级的甄母诞下一对双胞胎，在外人面前，甄母逼迫姐妹用一个人的身份生活，设立出一个“完美小孩”的形象。,
水库,762,--,28,--,5,短片,暂无评分,评分人数不足,30,0,0,简介：被暂时停职查看的民警王淼整日拿着一堆渔具在水库边徘徊，他不钓鱼，只钓各种奇怪的水中杂物。一日，在一名钓者好奇的询问下得知，他在寻找一只沉水的背包，背包牵引出王淼被停职的缘故。,
彼岸一片深蓝,732,1,28,2,10,短片,暂无评分,评分人数不足,21,0,0,简介：凌云的父亲是一名优秀的空军飞行员，十几年前，在一次执行任务的过程中不幸牺牲。对父亲的思念和父爱的渴求，促使凌云不断地试图从十几年的生活点滴中去寻找父亲的影子。直到有一天，凌云走进了父亲当年的房间..,
山脚,6440,1,22,--,5,短片,暂无评分,评分人数不足,3,0,0,简介：短片设计以德国青年挑战阿尔卑斯山艾格峰失败的故事为原型，讲述青年登顶失败最后悲惨丧生的故事，同时加以未来探索意向，突出人类对未来未知事物的无畏探索精神及对未知事物迫切了解、查明的精神特征。,
树,990,--,31,--,14,短片,暂无评分,评分人数不足,10,0,0,简介：过年回到安徽南方的老家，我见到了许多年没有团聚的家人，还有一棵长在屋基上的树。,
须菩提,1214,--,28,6,19,短片,暂无评分,评分人数不足,15,0,0,简介：相由心生，这是一场梦境与现实的讨论，也是异类对梦想的潜意识探寻，有人在梦里醒着，也有人在现实装睡，就像那条鱼。,
一粟,4237,--,29,13,12,短片,暂无评分,评分人数不足,21,0,0,简介：放暑假的小学生航航正为自己最后一篇作文发愁。他的奶奶给他讲述了自己父亲的故事。那是一位为了国家抛头颅洒热血的青年人。听完故事航航做了一场梦。梦中那名舍生忘死的青年，来到了21世纪航航的身边……,
听他说,785,--,25,2,4,短片,暂无评分,评分人数不足,32,0,1,简介：讲述了父子间因相互不理解，且儿子误会父亲，导致父子间存在隔阂，父亲一直想弥补儿子，但最终因病去世，父亲没能等到儿子的原谅，儿子也没能跟父亲当面道歉。,
十四行消亡诗,971,--,32,1,9,短片,暂无评分,评分人数不足,1,0,0,简介：HL1027号机器人发出了最后的声音”一首诗“后，人类文明最后的印记消亡了。莎翁的诗竟成了对人类最后的表白，他笔下的”永存“终究只适用于永不消逝的自然。而人类，并没有资格。,
冬至,4090,--,34,--,6,短片,暂无评分,评分人数不足,27,0,0,简介：本市著名的心理医生遭遇重大车祸，其儿子刘正君来接手父亲暂未痊愈的病人。可父亲不让其接手新的心理病患，正当刘正君为自己的治疗成果沾沾自喜时，一位主动上门的病患寻求治疗。自此，刘正君的生活发生了逆转……,
连岛,1667,--,7,--,1,短片,暂无评分,评分人数不足,21,0,0,简介：张小甯接到父亲再婚的消息回到老家，陈丽琴一如既往的颓废度日，但是她决定去连岛，女儿则要去参加婚礼，二人在一番争执之下一同上路，这一路上母女之间的距离慢慢靠近，最终二人一同去往连岛。,
小偷玫瑰,7370,--,121,6,35,短片,暂无评分,评分人数不足,4,0,0,简介：试在实验片语境下,探讨回避型依恋人格的成因，关注性单恋人群的心理特征;,
梦域,2172,3,38,6,11,短片,暂无评分,评分人数不足,6,0,3,简介：视频的创作方式是在游戏内编辑镜头，场景为游戏自带，人物，镜头几位，人脸模样均为自主完成，特此说明。,
西伯利亚流亡记,10000,4,313,2,40,,暂无评分,评分人数不足,已完结, 全18集,0,0,简介：1943年秋天，东北被日本鬼子侵占了，东北抗联部队奉党中央之命参加抗日战争，双方为扩充各自的势力，都对着狼窝山上的土匪窝相互较着劲。而土匪头目许金贵带着宁做鸡头不当牛尾的思想，最终在日本鬼子拉拢不成之下，狼窝山被日本军给毁灭了，使得从抗联部队派来的党代表赵彦、老李头也被当作“肉票”关进集中营。关进集中营的日子，鬼子的残忍变本加利。一个大风大雨之夜，由赵彦等人策划的越狱暴动开始了……,
戒烟不戒酒,9457,50,64,2,16,,暂无评分,评分人数不足,连载中,0,0,简介：人到中年的投资公司老总严保久迎来了事业的巅峰期，家庭也幸福美满。得意的春风刮昏了严保久的头脑，妻子因他不戒烟酒而愤怒出走。严保久融资开发的瑞斯达游乐场被对手设计陷害，全面失败落到倾家荡产，狼狈不堪的他只好带着儿子当当流落街头，最终被人逼债，走投无路躲回农村老家。乡亲的淳朴和商战中的险恶形成了鲜明的对比，严保久决定重整旗鼓，从零开始，最终迎来事业的春天。,
农民代表,15000,3,166,3,69,,暂无评分,评分人数不足,连载中,0,1,简介：这是一部表现中国农民、农村和农业改革的电视剧。主人公徐志诚是一个富有传奇色彩的农民企业家，从二十世纪六十年代到现在，徐志诚心里装着村民的温饱疾苦，舍小家顾大家，带领全村人艰苦奋斗，勤劳致富，他们办企业、开工厂、建商店旅馆、建设大型影视基地。在村民心理，徐志诚就是他们的希望和精神。此外，本剧对如何处理家族企业、如何处理两代人的矛盾、如何与时俱进等问题都作了有益的探讨。,
